Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
2	1.000000	1	0.000000	997	0.033099	0.678026	9	0.333333	0.035000	0.060936	
5	0.200000	0.0	0	995	0.030151	0.678026	14	0.285714	0.031000	0.060669	
6	0.166667	0.0	0	994	0.031187	0.678026	6	0.166667	0.032000	0.060415	
2	0.000000	0.0	0	998	0.033066	0.678026	8	0.125000	0.033000	0.060175	
2	0.000000	0.0	0	998	0.033066	0.678026	10	0.100000	0.033000	0.059939	
3	0.666667	0.0	0	997	0.018054	0.360279	3	0.666667	0.020000	0.059594	
3	0.333333	0.0	0	997	0.020060	0.360279	6	0.500000	0.021000	0.059264	
4	1.000000	0.0	0	996	0.021084	0.360279	10	0.700000	0.025000	0.058974	
5	0.400000	0.0	0	995	0.029146	0.663255	5	0.400000	0.031000	0.058739	
5	0.000000	0.0	0	995	0.038191	0.663255	10	0.200000	0.038000	0.058566	
1	1.000000	0.0	0	999	0.024024	0.663255	1	1.000000	0.025000	0.058289	
3	0.000000	0.0	0	997	0.029087	0.663255	4	0.250000	0.029000	0.058049	
3	0.000000	0.0	0	997	0.030090	0.663255	7	0.142857	0.030000	0.057821	
3	0.000000	0.0	0	997	0.039117	0.663255	10	0.100000	0.039000	0.057669	
2	0.000000	0.0	0	998	0.030060	0.645327	2	0.000000	0.030000	0.057448	
3	0.333333	0.0	0	997	0.032096	0.645327	5	0.200000	0.033000	0.057254	
2	0.500000	0.0	0	998	0.020040	0.645327	7	0.285714	0.021000	0.056968	
1	0.000000	1	0.000000	998	0.020040	0.645327	8	0.250000	0.020000	0.056679	
1	0.000000	0.0	0	999	0.028028	0.645327	9	0.222222	0.028000	0.056457	
1	0.000000	0.0	0	999	0.017017	0.645327	10	0.200000	0.017000	0.056153	
1	0.000000	0.0	0	999	0.021021	0.645327	1	0.000000	0.021000	0.055885	
