732	4 (A B G M)
Guapira_discolor	0100
Guapira_fragrans	0100
Guarea_pterorhachis	0010
Gymnadenia_conopsea	1100
Gynostemma_pentaphyllum	0010
Handroanthus_ochraceus	0010
Haplomitrium_blumei	0001
Haplomitrium_chilensis	0010
Haplomitrium_gibbsiae	0001
Haplomitrium_hookeri	0001
Hedera_rhombea	0010
Hedyosmum_goudotianum	0010
Helianthemum_squamatum	0010
Helianthus_annuus	0010
Helichrysum_stoechas	0010
Heteropogon_contortus	0010
Heterotheca_villosa	0010
Hexalectris_revoluta	0100
Hieronyma_oblonga	0010
Holcus_lanatus	0010
Hopea_odorata	0100
Hordeum_vulgare	0010
Huperzia_appressa	0000
Huperzia_lucidula	0000
Hyacinthoides_non_scripta	0010
Hymenostegia_ngouniensis	0010
Hypericum_maculatum	0010
Hypochaeris_radicata	0010
Inga_acreana	0010
Inga_edulis	0010
Intsia_bijuga	0100
Inula_conyza	0010
Ionopsis_utricularioides	0100
Ipomoea_pes_caprae	0010
Isoetes_echinospora	0011
Isoetes_lacustris	0010
Isopaches_bicrenatus	0100
Jacobaea_vulgaris	0010
Japonolirion_osense	0010
Jensenia_connivens	0010
Juglans_regia	0110
Juncus_bulbosus	0010
Kandelia_candel	0010
Keteleeria_davidiana	1100
Knautia_arvensis	0010
Kobresia_myosuroides	1100
Kummerowia_striata	0010
Larix_decidua	1100
Larix_gmelinii	1100
Larix_kaempferi	1100
Lavandula_latifolia	0010
Leiosporoceros_dussii	0000
Leontodon_hispidus	0010
Lepidozia_reptans	1000
Leymus_mollis	0010
Ligularia_virgaurea	0010
Ligustrum_vulgare	0010
Limodorum_abortivum	1100
Linnaea_borealis	0010
Liparis_kumokiri	0100
Liparis_liliifolia	0100
Liparis_loeselii	0100
Listera_cordata	0100
Listera_ovata	0100
Litsea_cubeba	0010
Littorella_uniflora	0010
Lobatiriccardia_lobata	0100
Lolium_multiflorum	0010
Lolium_perenne	0010
Lophozia_ventricosa	0100
Lophozonia_cunninghamii	1100
Lophozonia_menziesii	1100
Lotus_brunneri	0010
Lotus_corniculatus	0010
Lotus_jacobaeus	0010
Lotus_japonicus	0010
Luehea_seemannii	0010
Lupinus_latifolius	0000
Luronium_natans	0010
Lycium_barbarum	0010
Lycopodiella_inundata	0001
Lycopodiella_lateralis	0001
Lycopodium_annotinum	0001
Lycopodium_clavatum	0011
Lycopodium_fastigiatum	0001
Lycopodium_volubile	0000
Maianthemum_bifolium	0010
Maianthemum_racemosum	0010
Malus_hupehensis	0010
Malus_micromalus	0010
Malus_sieboldii	0010
Mangifera_indica	0110
Mannia_androgyna	0000
Mannia_fragrans	0000
Marchantia_paleacea	0010
Marsilea_crenata	0000
Medicago_murex	0010
Medicago_polymorpha	0010
Medicago_truncatula	0010
Megaceros_flagellaris	0000
Megaceros_leptohymenius	0011
Megaceros_pellucidus	0011
Megathyrsus_maximus	0010
Melilotus_albus	0010
Melinis_repens	0010
Mercurialis_perennis	0010
Metzgeria_conjugata	0000
Metzgeria_decipiens	0000
Metzgeria_furcata	0000
Metzgeria_pubescens	0000
Metzgeria_temperata	0000
Miscanthus_sinensis	0010
Monoclea_gottschei	0010
Monosolenium_tenerum	0000
Montinia_caryophyllacea	0010
Moringa_drouhardii	0010
Moringa_hildebrandtii	0010
Moringa_oleifera	0010
Musa_acuminata	0010
Nardia_compressa	0000
Nardia_geoscyphus	0100
Nardia_scalaris	0100
Neohodgsonia_mirabilis	0011
Neoorthocaulis_floerkei	0100
Neottia_nidus_avis	1100
Nephrolepis_hirsutula	0010
Nervilia_nipponica	0100
Neuwiedia_veratrifolia	0100
Noccaea_caerulescens	0010
Nothoceros_giganteus	0000
Nothoceros_vincentianus	0011
Notothylas_javanica	0010
Notothylas_orbicularis	0010
Nyholmiella_obtusifolia	0000
Nymphaea_alba	0000
Odontoschisma_denudatum	1000
Olea_europaea	0010
Oloptum_miliaceum	0010
Ononis_repens	0010
Ophioglossum_costatum	0010
Ophioglossum_vulgatum	0010
Ophrys_fuciflora	0100
Ophrys_insectifera	0100
Orchis_anthropophora	0100
Orchis_mascula	0100
Orchis_militaris	0100
Orchis_purpurea	0100
Orchis_simia	0100
Origanum_vulgare	0010
Orixa_japonica	0010
Orthilia_secunda	1100
Orthocaulis_attenuatus	0100
Oryza_sativa	0010
Osmunda_regalis	0010
Ostrya_carpinifolia	1100
Oxalis_acetosella	0010
Oxalis_stricta	0010
Oxymitra_incrassata	0000
Pachyschistochila_splachnophylla	1000
Palhinhaea_cernua	0010
Pallavicinia_xiphoides	0000
Panax_ginseng	0010
Panax_japonicus	0010
